vlr	date	produto
154282549.154567	2016-10-01	transporte
156526043.267742	2016-11-01	transporte
159641205.277118	2016-12-01	transporte
161891101.84939	2017-01-01	transporte
160817443.518438	2017-02-01	transporte
161150253.952563	2017-03-01	transporte
163767940.099724	2017-04-01	transporte
163330979.666522	2017-05-01	transporte
162650761.757879	2017-06-01	transporte
168242608.411893	2017-07-01	transporte
175045038.819952	2017-08-01	transporte
176868924.376285	2017-09-01	transporte
176196943.185882	2017-10-01	transporte
176475188.474969	2017-11-01	transporte
176942118.217525	2017-12-01	transporte
174189107.518558	2018-01-01	transporte
171601162.043582	2018-02-01	transporte
173805257.883203	2018-03-01	transporte
177957098.756675	2018-04-01	transporte
178943688.52584	2018-05-01	transporte
180619928.530317	2018-06-01	transporte
181491190.329296	2018-07-01	transporte
183949957.437169	2018-08-01	transporte
186199606.837546	2018-09-01	transporte
189056661.595863	2018-10-01	transporte
190998057.605284	2018-11-01	transporte
191423453.364895	2018-12-01	transporte
186729900.708189	2019-01-01	transporte
187861219.363023	2019-02-01	transporte
192861348.344836	2019-03-01	transporte
197442858.776319	2019-04-01	transporte
200000000	2019-05-01	transporte
198426675.231306	2019-06-01	transporte
197965208.551868	2019-07-01	transporte
198429916.998044	2019-08-01	transporte
198975132.08548	2019-09-01	transporte
198660953.712786	2019-10-01	transporte
195397744.703003	2019-11-01	transporte
193957210.410465	2019-12-01	transporte
192269556.647918	2020-01-01	transporte
186981175.658498	2020-02-01	transporte
184587138.794485	2020-03-01	transporte
157637574.365361	2020-04-01	transporte
161544325.750374	2020-05-01	transporte
162519024.573505	2020-06-01	transporte
163266828.172395	2020-07-01	transporte
164152077.62276	2020-08-01	transporte
167823732.744644	2020-09-01	transporte
170350498.434779	2020-10-01	transporte
171351291.641156	2020-11-01	transporte
174789701.694537	2020-12-01	transporte
174567574.734465	2021-01-01	transporte
172916295.735828	2021-02-01	transporte
172825047.333968	2021-03-01	transporte
172513021.612959	2021-04-01	transporte
173923217.240807	2021-05-01	transporte
173539516.302937	2021-06-01	transporte
173704587.260931	2021-07-01	transporte
175944687.876819	2021-08-01	transporte
176190062.844421	2021-09-01	transporte
176898590.859387	2021-10-01	transporte
666666.666666667	2009-12-01	auxilio_final_de_ano
654429.216813222	2010-01-01	auxilio_final_de_ano
622883.269217253	2010-02-01	auxilio_final_de_ano
580597.407501733	2010-03-01	auxilio_final_de_ano
539057.415730577	2010-04-01	auxilio_final_de_ano
509546.48303944	2010-05-01	auxilio_final_de_ano
500160.875143821	2010-06-01	auxilio_final_de_ano
526460.937208446	2010-07-01	auxilio_final_de_ano
590849.468273262	2010-08-01	auxilio_final_de_ano
675837.105842157	2010-09-01	auxilio_final_de_ano
758339.310222271	2010-10-01	auxilio_final_de_ano
815946.640861534	2010-11-01	auxilio_final_de_ano
833011.660688127	2010-12-01	auxilio_final_de_ano
804899.129344568	2011-01-01	auxilio_final_de_ano
739245.037949461	2011-02-01	auxilio_final_de_ano
653882.503437963	2011-03-01	auxilio_final_de_ano
571997.895882032	2011-04-01	auxilio_final_de_ano
515832.902748586	2011-05-01	auxilio_final_de_ano
500964.785064522	2011-06-01	auxilio_final_de_ano
545831.934264407	2011-07-01	auxilio_final_de_ano
646163.882351225	2011-08-01	auxilio_final_de_ano
774708.232337301	2011-09-01	auxilio_final_de_ano
896549.469043845	2011-10-01	auxilio_final_de_ano
978592.792504224	2011-11-01	auxilio_final_de_ano
998553.404468575	2011-12-01	auxilio_final_de_ano
951009.557111384	2012-01-01	auxilio_final_de_ano
848875.220780144	2012-02-01	auxilio_final_de_ano
719892.361347612	2012-03-01	auxilio_final_de_ano
599095.602947856	2012-04-01	auxilio_final_de_ano
519296.041921652	2012-05-01	auxilio_final_de_ano
502892.027400358	2012-06-01	auxilio_final_de_ano
569822.160259895	2012-07-01	auxilio_final_de_ano
708338.736189924	2012-08-01	auxilio_final_de_ano
880817.560817662	2012-09-01	auxilio_final_de_ano
1040409.53482476	2012-10-01	auxilio_final_de_ano
1143765.91521737	2012-11-01	auxilio_final_de_ano
1162812.80167382	2012-12-01	auxilio_final_de_ano
1092376.63461525	2013-01-01	auxilio_final_de_ano
951589.449485737	2013-02-01	auxilio_final_de_ano
778692.188807459	2013-03-01	auxilio_final_de_ano
620647.60847158	2013-04-01	auxilio_final_de_ano
520384.144805644	2013-05-01	auxilio_final_de_ano
506419.491124644	2013-06-01	auxilio_final_de_ano
598804.749839752	2013-07-01	auxilio_final_de_ano
777542.058406046	2013-08-01	auxilio_final_de_ano
994082.373548277	2013-09-01	auxilio_final_de_ano
1189608.51146188	2013-10-01	auxilio_final_de_ano
1311011.20801419	2013-11-01	auxilio_final_de_ano
1325314.78053477	2013-12-01	auxilio_final_de_ano
1228634.05940312	2014-01-01	auxilio_final_de_ano
1047229.68685309	2014-02-01	auxilio_final_de_ano
830375.140279502	2014-03-01	auxilio_final_de_ano
636972.955758813	2014-04-01	auxilio_final_de_ano
519555.484265417	2014-05-01	auxilio_final_de_ano
512019.118849433	2014-06-01	auxilio_final_de_ano
633134.546417576	2014-07-01	auxilio_final_de_ano
853915.209821804	2014-08-01	auxilio_final_de_ano
1114392.15200481	2014-09-01	auxilio_final_de_ano
1343814.02038284	2014-10-01	auxilio_final_de_ano
1479864.71371481	2014-11-01	auxilio_final_de_ano
1485589.82639183	2014-12-01	auxilio_final_de_ano
1359434.28999902	2015-01-01	auxilio_final_de_ano
1135664.76461353	2015-02-01	auxilio_final_de_ano
875062.048932423	2015-03-01	auxilio_final_de_ano
648411.658429415	2015-04-01	auxilio_final_de_ano
517276.899082119	2015-05-01	auxilio_final_de_ano
520156.382262473	2015-06-01	auxilio_final_de_ano
673146.934834318	2015-07-01	auxilio_final_de_ano
937572.390421163	2015-08-01	auxilio_final_de_ano
1241608.89204912	2015-09-01	auxilio_final_de_ano
1502673.33833219	2015-10-01	auxilio_final_de_ano
1649854.79745713	2015-11-01	auxilio_final_de_ano
1643175.49933394	2015-12-01	auxilio_final_de_ano
1484449.69044664	2016-01-01	auxilio_final_de_ano
1216790.84400561	2016-02-01	auxilio_final_de_ano
912901.078125435	2016-03-01	auxilio_final_de_ano
655323.637487169	2016-04-01	auxilio_final_de_ano
514022.305324339	2016-05-01	auxilio_final_de_ano
531288.774824667	2016-06-01	auxilio_final_de_ano
719156.729214104	2016-07-01	auxilio_final_de_ano
1028600.2244472	2016-08-01	auxilio_final_de_ano
1375567.49896494	2016-09-01	auxilio_final_de_ano
1665814.49504499	2016-10-01	auxilio_final_de_ano
1820503.64885564	2016-11-01	auxilio_final_de_ano
1797617.93282271	2016-12-01	auxilio_final_de_ano
1603373.61833901	2017-01-01	auxilio_final_de_ano
1290531.79767724	2017-02-01	auxilio_final_de_ano
944067.293449678	2017-03-01	auxilio_final_de_ano
658087.599743604	2017-04-01	auxilio_final_de_ano
510271.18579943	2017-05-01	auxilio_final_de_ano
545864.3258127	2017-06-01	auxilio_final_de_ano
771457.119061055	2017-07-01	auxilio_final_de_ano
1127057.42481678	2017-08-01	auxilio_final_de_ano
1516076.26134291	2017-09-01	auxilio_final_de_ano
1832847.42788432	2017-10-01	auxilio_final_de_ano
1991328.80376611	2017-11-01	auxilio_final_de_ano
1948473.30923909	2017-12-01	auxilio_final_de_ano
1715921.45335571	2018-01-01	auxilio_final_de_ano
1356839.51183973	2018-02-01	auxilio_final_de_ano
968762.156427326	2018-03-01	auxilio_final_de_ano
657099.860584764	2018-04-01	auxilio_final_de_ano
506507.061650803	2018-05-01	auxilio_final_de_ano
564320.139738842	2018-06-01	auxilio_final_de_ano
830318.676492853	2018-07-01	auxilio_final_de_ano
1232974.53782538	2018-08-01	auxilio_final_de_ano
1662917.40260048	2018-09-01	auxilio_final_de_ano
2003365.19037128	2018-10-01	auxilio_final_de_ano
2161844.68156192	2018-11-01	auxilio_final_de_ano
2095309.30834741	2018-12-01	auxilio_final_de_ano
1821831.56347948	2019-01-01	auxilio_final_de_ano
1415694.107791	2019-02-01	auxilio_final_de_ano
987212.941170747	2019-03-01	auxilio_final_de_ano
652773.114214691	2019-04-01	auxilio_final_de_ano
503215.950215072	2019-05-01	auxilio_final_de_ano
587080.965117221	2019-06-01	auxilio_final_de_ano
895988.427351181	2019-07-01	auxilio_final_de_ano
1346353.7689088	2019-08-01	auxilio_final_de_ano
1815847.70872203	2019-09-01	auxilio_final_de_ano
2176945.21139513	2019-10-01	auxilio_final_de_ano
2331564.1337847	2019-11-01	auxilio_final_de_ano
2237706.52473843	2019-12-01	auxilio_final_de_ano
1920866.20622248	2020-01-01	auxilio_final_de_ano
1467104.08213186	2020-02-01	auxilio_final_de_ano
999672.075502941	2020-03-01	auxilio_final_de_ano
645535.154646449	2020-04-01	auxilio_final_de_ano
500884.813291017	2020-05-01	auxilio_final_de_ano
614557.796473277	2020-06-01	auxilio_final_de_ano
968688.988766924	2020-07-01	auxilio_final_de_ano
1467168.89002079	2020-08-01	auxilio_final_de_ano
1974599.23060704	2020-09-01	auxilio_final_de_ano
2353150.60175867	2020-10-01	auxilio_final_de_ano
2500000	2020-11-01	auxilio_final_de_ano
2375259.85039019	2020-12-01	auxilio_final_de_ano
2012812.36235796	2021-01-01	auxilio_final_de_ano
1511106.36520832	2021-02-01	auxilio_final_de_ano
1006416.40823626	2021-03-01	auxilio_final_de_ano
635827.550840732	2021-04-01	auxilio_final_de_ano
500000	2021-05-01	auxilio_final_de_ano
117604.819280894	2012-01-01	bonificacao
132306.997393501	2012-02-01	bonificacao
128793.626311568	2012-03-01	bonificacao
108098.4011222	2012-05-01	bonificacao
133967.763827106	2012-07-01	bonificacao
115038.330800707	2012-09-01	bonificacao
106987.73851645	2012-10-01	bonificacao
91371.7485296684	2013-01-01	bonificacao
115942.804230635	2013-02-01	bonificacao
103517.073032862	2013-05-01	bonificacao
114364.181211782	2013-06-01	bonificacao
89211.1831847654	2013-07-01	bonificacao
138779.750677231	2013-11-01	bonificacao
127013.136390714	2013-12-01	bonificacao
148276.799888002	2014-01-01	bonificacao
118931.441285837	2014-02-01	bonificacao
125808.297382183	2014-03-01	bonificacao
135678.825163641	2014-04-01	bonificacao
169679.06362844	2014-05-01	bonificacao
145593.50656321	2014-06-01	bonificacao
89303.2938943687	2014-08-01	bonificacao
136956.257087021	2014-09-01	bonificacao
133649.786266934	2014-10-01	bonificacao
107502.309259296	2014-11-01	bonificacao
132409.286846514	2014-12-01	bonificacao
134978.881956568	2015-01-01	bonificacao
145091.854617742	2015-02-01	bonificacao
149620.183815326	2015-03-01	bonificacao
160731.244724276	2015-05-01	bonificacao
162836.841869473	2015-07-01	bonificacao
166017.087567023	2015-08-01	bonificacao
152515.587664308	2015-09-01	bonificacao
146315.679021149	2015-10-01	bonificacao
121110.394834227	2015-12-01	bonificacao
115333.507793716	2016-01-01	bonificacao
96512.0728204715	2016-02-01	bonificacao
116274.081809051	2016-04-01	bonificacao
125059.941742447	2016-05-01	bonificacao
137939.942279041	2016-06-01	bonificacao
200567.324428986	2016-07-01	bonificacao
149064.633753683	2016-08-01	bonificacao
141106.205906303	2016-09-01	bonificacao
142230.496050041	2016-10-01	bonificacao
122682.385930277	2016-12-01	bonificacao
135207.453367621	2017-01-01	bonificacao
134848.285205479	2017-02-01	bonificacao
136384.810293867	2017-03-01	bonificacao
99852.6628138871	2017-04-01	bonificacao
159681.866796449	2017-05-01	bonificacao
161974.804219684	2017-08-01	bonificacao
152909.839960033	2017-09-01	bonificacao
168662.522468791	2017-10-01	bonificacao
133658.856528758	2017-11-01	bonificacao
176449.830099904	2017-12-01	bonificacao
110499.971701675	2018-01-01	bonificacao
138546.902517498	2018-02-01	bonificacao
146233.175727589	2018-03-01	bonificacao
163476.459131824	2018-04-01	bonificacao
165688.492622547	2018-05-01	bonificacao
149516.67347362	2018-06-01	bonificacao
160218.052940959	2018-08-01	bonificacao
112903.036432913	2018-09-01	bonificacao
178282.240626318	2018-10-01	bonificacao
175503.635972087	2018-12-01	bonificacao
158001.965198893	2019-01-01	bonificacao
144843.623613857	2019-02-01	bonificacao
167473.156087601	2019-03-01	bonificacao
172288.263732255	2019-05-01	bonificacao
196597.308717305	2019-07-01	bonificacao
186586.183509782	2019-09-01	bonificacao
184069.308916889	2019-10-01	bonificacao
167608.17935083	2019-11-01	bonificacao
121632.044595117	2019-12-01	bonificacao
200247.269410008	2020-01-01	bonificacao
178711.242332102	2020-02-01	bonificacao
157559.90852621	2020-03-01	bonificacao
180730.031648227	2020-04-01	bonificacao
201331.273286179	2020-05-01	bonificacao
176164.461200135	2020-06-01	bonificacao
127811.232121561	2020-08-01	bonificacao
190478.942898225	2020-09-01	bonificacao
188154.195757631	2020-12-01	bonificacao
176207.70758102	2021-01-01	bonificacao
179630.514222467	2021-04-01	bonificacao
191898.32359632	2021-05-01	bonificacao
195188.511222099	2021-07-01	bonificacao
149130.359731517	2021-09-01	bonificacao
175630.723458942	2021-10-01	bonificacao
0	2016-11-01	saude
5594536.8961636	2016-12-01	saude
7946243.20520894	2017-01-01	saude
10086653.721922	2017-02-01	saude
10973306.0892405	2017-03-01	saude
12795028.3587232	2017-04-01	saude
12425080.6233371	2017-05-01	saude
13843946.7756924	2017-06-01	saude
14794114.7885464	2017-07-01	saude
16326951.4731951	2017-08-01	saude
14088673.3633305	2017-09-01	saude
16417723.7399904	2017-10-01	saude
17006849.1738087	2017-11-01	saude
17560947.5972316	2017-12-01	saude
18215152.967319	2018-01-01	saude
18838892.2445934	2018-02-01	saude
19517894.7089659	2018-03-01	saude
20597760.3151394	2018-04-01	saude
19676222.0876189	2018-05-01	saude
20505968.0240354	2018-06-01	saude
20062569.1977009	2018-07-01	saude
21523736.442352	2018-08-01	saude
21984732.3466768	2018-09-01	saude
20526396.4956029	2018-10-01	saude
20368357.2485875	2018-11-01	saude
21711057.441099	2018-12-01	saude
21406008.3067194	2019-01-01	saude
21186071.1867535	2019-02-01	saude
23529976.8494566	2019-03-01	saude
23398321.7069031	2019-04-01	saude
21228469.2546043	2019-05-01	saude
22617905.5412029	2019-06-01	saude
22979486.6391086	2019-07-01	saude
22883699.523132	2019-08-01	saude
23656137.0537373	2019-09-01	saude
23387612.0023083	2019-10-01	saude
24029382.3159504	2019-11-01	saude
24041837.7027747	2019-12-01	saude
24321531.8173637	2020-01-01	saude
25020618.8469799	2020-02-01	saude
24597007.3997833	2020-03-01	saude
24405544.0905823	2020-04-01	saude
24442469.3191803	2020-05-01	saude
24865715.1980222	2020-06-01	saude
25779887.5937028	2020-07-01	saude
25245237.7761233	2020-08-01	saude
24863496.6932762	2020-09-01	saude
26059196.75222	2020-10-01	saude
26011833.969551	2020-11-01	saude
26248546.8173547	2020-12-01	saude
25167698.6916221	2021-01-01	saude
26724961.8025128	2021-02-01	saude
27794973.9348893	2021-03-01	saude
26720805.1711684	2021-04-01	saude
25032003.1584601	2021-05-01	saude
25303903.2851808	2021-06-01	saude
26655172.0951134	2021-07-01	saude
26237136.9530761	2021-08-01	saude
28000000	2021-09-01	saude
26265641.8077081	2021-10-01	saude
